feature,description,rf_importance,perm_importance_mean,perm_importance_std,pearson_corr_with_Tc
entropy_Density,Entropy-like measure of how heterogeneous the mass density of constituent elements are across different elements in the compound (higher = more diverse).,0.0072908512726030175,0.014370594214551669,0.0006332067859759599,0.45558072589267246
entropy_FusionHeat,Entropy-like measure of how heterogeneous the heat of fusion (fusion enthalpy) of constituent elements are across different elements in the compound (higher = more diverse).,0.0031656437817305697,0.016094286235589395,0.0011025284875033517,0.5526283157544873
entropy_Valence,Entropy-like measure of how heterogeneous the valence electron count of constituent elements are across different elements in the compound (higher = more diverse).,0.0009180753720579761,0.0005969380847946404,9.40580376543111e-05,0.5980860625601684
entropy_atomic_radius,Entropy-like measure of how heterogeneous the atomic radius of constituent elements are across different elements in the compound (higher = more diverse).,0.0016218307972076414,0.00079178877576217,8.814604489477012e-05,0.5590204034431239
entropy_fie,Entropy-like measure of how heterogeneous the first ionization energy of constituent elements are across different elements in the compound (higher = more diverse).,0.001025575133152702,0.00029769023977249676,3.129080100908811e-05,0.567868669247954
gmean_Density,Unweighted geometric mean of the mass density of constituent elements in the compound.,0.006342943039206244,0.0074652382637176665,0.0004752853912541182,-0.5408156234067334
gmean_ElectronAffinity,Unweighted geometric mean of the electron affinity of constituent elements in the compound.,0.01066013527315503,0.01090334038452927,0.0008147248010717129,-0.3787295023797098
gmean_Valence,Unweighted geometric mean of the valence electron count of constituent elements in the compound.,0.0009900806424405445,0.00042231562457646367,7.308104481905226e-05,-0.572613377443046
mean_Density,Unweighted arithmetic mean of the mass density of constituent elements in the compound.,0.011072795346023368,0.019677813870583316,0.0014510659543511975,-0.3685079482423043
mean_Valence,Unweighted arithmetic mean of the valence electron count of constituent elements in the compound.,0.00034619047241979975,0.0001253075283808247,3.10595219692774e-05,-0.5986856837935384
number_of_elements,Number of distinct chemical elements present in the compound.,3.488810189801092e-05,3.3285463596821606e-06,3.847483825436044e-06,0.6014914031524762
range_ThermalConductivity,Range (max minus min) of the thermal conductivity of constituent elements among the elements in the compound.,0.5364449729832147,0.7325830281446258,0.01708013239460433,0.6861889134702488
range_atomic_radius,Range (max minus min) of the atomic radius of constituent elements among the elements in the compound.,0.007038061180201767,0.013715526244571674,0.0007767081521931439,0.6522521389767186
range_fie,Range (max minus min) of the first ionization energy of constituent elements among the elements in the compound.,0.0018502743243297933,0.0018219345191642145,0.00028748595314128907,0.6007774712420055
std_Density,Standard deviation of the mass density of constituent elements among the elements in the compound.,0.011594482843493618,0.013428050487314913,0.0009063173364605893,0.11436320635058286
std_ThermalConductivity,Standard deviation of the thermal conductivity of constituent elements among the elements in the compound.,0.0014372158522529157,0.0006393994995492092,8.740920608686122e-05,0.652263956683619
std_atomic_mass,Standard deviation of the atomic mass of constituent elements among the elements in the compound.,0.02229828857989025,0.03702237715401929,0.001684158153772774,0.37933036596001307
std_atomic_radius,Standard deviation of the atomic radius of constituent elements among the elements in the compound.,0.0046430456550347705,0.0030232336708060693,0.00024015206404614096,0.557629171277131
wtd_entropy_Density,Atomic-fraction-weighted entropy-like measure of how heterogeneous the mass density of constituent elements are across different elements in the compound.,0.007238878580879635,0.004723002777331187,0.0004147028389710469,0.3990479906856441
